frogie	animal	Lily margins	睡莲留白	A freshwater pond margin: broad water-lily pads with asymmetric radial veins, a few slender reed blades and duckweed pairs. Rounded pads form a loose crescent in the lower right, with ample open water-like paper between them. No flowers.	睡莲的圆叶与细长芦苇散落在池塘边，把青蛙的声场留在宽阔的纸面上。
pew	animal	Savanna in stripes	草原条序	Open African grassland: upright bunchgrass blades and fine oat-like seed heads bent in alternating directions, with one sparse acacia leaflet spray. Long tapered botanical bands suggest the zebra's rhythm without drawing stripes, animals or an instrument grid.	疏密相间的草叶和细小穗头延续斑马的节奏，一枝金合欢小叶留出开阔草原的空气。
firefly	animal	Bracken after dusk	暮色蕨影	A temperate woodland clearing for a firefly: a few broad triangular bracken fronds, low fern curls and fine damp meadow blades. Arrange two unequal branching fronds across opposite outer corners, not a wreath. No glowing dots, flames or luminous particles.	暮色林地里的三角蕨叶与低矮草丛，给萤火虫留出安静而通透的活动空间。
bogo	animal	Floodplain folio	河滩叶册	A broad buffalo floodplain habitat, without asserting a species: robust wetland grass leaves in bent fans, paired sedge seed heads and one broad water-margin leaf. Overlapping leaf tips resemble the edges of stored folios, while remaining entirely botanical.	水牛活动的河滩上，宽草叶与莎草穗层层错落，像知识档案中自然叠放的书页。
steed	animal	Wind through the pasture	牧场风序	An open horse pasture: long timothy grass, loose oat panicles and several narrow lanceolate plantain leaves. Use a low horizontal sweep that gathers at the bottom right and opens toward the upper left. No fencing, horseshoes or racing symbols.	梯牧草与松散燕麦穗顺风舒展，用牧场里连续的草叶呼应马匹轻快的步调。
ellie	animal	Mopane conversations	林叶相听	A broad elephant woodland habitat: distinctive paired butterfly-shaped mopane leaves on restrained twigs, with one small acacia spray. Three overlapping leaf pairs occupy unequal positions near the edges. Broad pressed veins suggest attentive open ears without drawing an elephant.	成对的宽叶与细小金合欢叶彼此呼应，像林间展开的倾听空间，保留大象的从容。
neo	animal	A familiar garden	熟悉的庭院	A domestic retriever's temperate garden setting, not a claimed wild habitat: soft apple-tree leaves, a few clover leaflets and two rounded fallen leaves. Quiet diagonally placed leaf clusters suggest a familiar home. No dog bones, paw prints, locks or flowers.	苹果树叶与少量三叶草构成熟悉的庭院，承接金毛犬温和的性格，也给私人资料留出安稳的空间。
giraffe	animal	Acacia at eye level	枝头金合欢	Giraffe browsing height: unmistakable delicate bipinnate acacia leaflets, one restrained curved seed pod and thin forked twigs. A high airy canopy from the upper right, with tiny leaflets visibly embossed at thumbnail size. No unrelated tropical leaves or blossoms.	纤细的金合欢复叶与弯曲豆荚落在枝头，像长颈鹿抬眼便能触及的一小片树冠。
backy	animal	Shelter in the scrub	灌丛小憩	A plausible dry scrub environment for an unspecified small tortoise: broad ribbed plantain leaves, rounded low mallow leaves and a few dry grass seeds. A compact ground-level cluster rests along the lower edge. No shell pattern, succulent rosettes or flowers.	车前叶的筋脉、低矮锦葵叶和干草籽贴近地面，给小陆龟留下一片有遮蔽的灌丛。
otter	animal	Willow beside the river	河畔柳叶	A riverbank habitat: long willow leaves on bowed supple stems, ribbon-like reeds and a little low sedge. Arrange the willow in a single gentle S-flow along the right margin, with a smaller detached leaf near the bottom. No shells, bubbles or water droplets.	细长柳叶沿柔软枝条弯折，芦苇与莎草贴着河岸，把水獭松弛的姿态延伸进留白。
gecko	animal	A warm stone garden	暖石叶隙	A plausible warm dry garden for an unspecified sandstone-colored gecko: small fleshy stonecrop leaves on branching stems, narrow aloe-like leaf tips and sparse dry grass. Keep the succulent grouping irregular and open, without symmetrical rosettes or literal stones as objects.	景天小叶、细窄肉质叶尖与干草从暖石边的缝隙生长，呼应壁虎亲近地面的生活环境。
dove	bird	An orchard perch	花枝停驻	A temperate orchard perch for the existing dove with pink blossom accents: serrated cherry leaves on slender branches, tiny closed buds and only two very small five-petal blossoms in quiet dusty blush. Leaves dominate; petals occupy less than two percent of the canvas.	锯齿樱叶沿细枝展开，极少量淡粉花朵呼应原标。以叶为主，把明亮的位置留给鸽子。
